Algorithm,Array Type,Array Size,Sort Order,Execution Time (ns)
BubbleSortUntilNoChange,Byte[],1000,RANDOM,5024402
BubbleSortPassPerItem,Byte[],1000,RANDOM,4180905
BubbleSortWhileNeeded,Byte[],1000,RANDOM,3183953
BubbleSortUntilNoChange,Byte[],1000,RANDOM,5068575
BubbleSortPassPerItem,Byte[],1000,RANDOM,4235057
BubbleSortWhileNeeded,Byte[],1000,RANDOM,3193591
BubbleSortUntilNoChange,Byte[],1000,RANDOM,4886101
BubbleSortPassPerItem,Byte[],1000,RANDOM,4121531
BubbleSortWhileNeeded,Byte[],1000,RANDOM,3132122
BubbleSortUntilNoChange,Byte[],1000,RANDOM,4910668
BubbleSortPassPerItem,Byte[],1000,RANDOM,4204435
BubbleSortWhileNeeded,Byte[],1000,RANDOM,3176291
BubbleSortUntilNoChange,Byte[],1000,RANDOM,6039562
BubbleSortPassPerItem,Byte[],1000,RANDOM,4173305
BubbleSortWhileNeeded,Byte[],1000,RANDOM,3215401
BubbleSortUntilNoChange,Byte[],1000,RANDOM,5075768
BubbleSortPassPerItem,Byte[],1000,RANDOM,4194794
BubbleSortWhileNeeded,Byte[],1000,RANDOM,3162317
BubbleSortUntilNoChange,Byte[],1000,RANDOM,5047178
BubbleSortPassPerItem,Byte[],1000,RANDOM,4113152
BubbleSortWhileNeeded,Byte[],1000,RANDOM,3176388
BubbleSortUntilNoChange,Byte[],1000,RANDOM,5122348
BubbleSortPassPerItem,Byte[],1000,RANDOM,4198956
BubbleSortWhileNeeded,Byte[],1000,RANDOM,3178007
BubbleSortUntilNoChange,Byte[],1000,RANDOM,5026135
BubbleSortPassPerItem,Byte[],1000,RANDOM,4148351
BubbleSortWhileNeeded,Byte[],1000,RANDOM,3211364
BubbleSortUntilNoChange,Byte[],1000,RANDOM,4983054
BubbleSortPassPerItem,Byte[],1000,RANDOM,4229819
BubbleSortWhileNeeded,Byte[],1000,RANDOM,3182115
BubbleSortUntilNoChange,Byte[],1000,RANDOM,5027071
